Số 02, LK48
Tầng 1, Tòa nhà Kim Khí Thăng Long
Lô 3, 10
Số 54B, Ngõ 4 Tô Hiệu
Số 48, ngõ 102 đường Trường Chinh
Số 11, ngõ 8/138 Lê Quang Đạo
số 2/25/22, ngõ 488
Số nhà 6, Dãy D9
A24.BT1, khu đô thị Văn Quán
55D, Ngõ 34 Xuân La
Xóm 5, Thôn Việt Yên
Số 2, ngõ 66
Tầng 2, Số 4 ngõ 219 Đội Cấn
Tầng 2, số 36
LK1, T01 khu đô thị Spendora Bắc An Khánh
Kiot 13, Toà V1
Số 09, LK5B (LK6B)
Số nhà 40, ngõ 252
Số nhà 87, đường Đa Lộc
Số 6, tổ dân phố 3
Căn hộ văn phòng số 3603, tầng 36
A3, LK2 Khu Đô thị Phú Hà
số 8, ngõ 463
Tầng 2, NO
Số 16 đường 2.2, Khu đô thị Gamuda
Số 27, ngõ 268/56/8 đường Ngọc Thụy
Tầng 8, Số 1 Thái Hà
Khu phố Xã Kim Hoa, Thôn Bảo Tháp
Tầng 4, tòa nhà HUD3
Số 9B Đường Đê Vàng, Tổ 2
Tầng 3, nhà D
Số 126 Phạm Văn Đồng, Tổ 3
Ngõ 2 Xóm Thắng Lợi,Thôn Đại áng
Số 1A, Ngõ 6
Số 63, đường 18
Xóm Đình Giếng, thôn Chu Quyến 3
Số 8 Ngách 78 Ngõ 1395 Đường Giải Phóng,Tổ 10 Pháp Vân
Số 19, ngõ 150 ngách 55 hẻm 15
Số nhà 53, Ngõ 885 Tam Trinh
Tầng 9, Tòa nhà văn phòng Vinaconex 9
Tầng 18, Center Building
Số 19, ngách 97/81 đường Văn Cao
BT8, 12A Khu đô thị An Hưng
LK 25, 07A khu dân cư Ngô Thị Nhậm
xóm 4, Thôn Văn Hội
Tầng 5, toà nhà ICON4
Số nhà 211 Km 15 Đường Vạn Xuân, Thôn Lai Xá
Số nhà 3, ngách 80 ngõ 61 phố Bằng Liệt
Số nhà 4 BT3, Tiểu khu đô thị mới Vạn Phúc
Tầng 7, số 434 Trần Khát Chân
Tầng 3, Tòa nhà An Phú
Số 59, đường Phú Minh
Tầng 8 Tòa nhà Kim Khí Thăng Long, Số 1 Lương Yên
Số 50, ngõ 426/6 đường Láng
Số nhà 03, Dãy E
Số 10,Ngõ 76 phố Lê Lợi
Số 84, Ngách 8/11 Đường Lê Quang Đạo
Số 4, ngõ 57 đường Mễ Trì
Tầng 2, Số 206 đường Nguyễn Tam Trinh
Số 01, Lô TT02
Tầng 2, số nhà 19
Tầng 5, số 14 đường Nam Đồng
Số 12, ngõ 28 Ngọc Hà
Số nhà 56, ngách 1/65
Số nhà 6, Ngõ 295/53
T05, OF
Số 11C, ngõ 639 Hoàng Hoa Thám
Số 34 ngách 1/8, ngõ 1 Đình Thôn
Tầng 2, Nhà số 10
Số nhà 1, tổ 5
Số 63, Ngõ 521
Số 4, ngõ 15 phố Đông Thiên
Số 6, Tổ 12
BT F07 dự án Embassy Garden, lô A1
Số 6, Ngõ 71
Xóm Vỹ, Thôn 3
Số 10, ngõ 63
Số nhà 42F, Ngõ 110
Số 144, ngõ 107 Lĩnh Nam
Tầng 3, Nhà số 10
Số 2, ngõ 521 phố Vũ Tông Phan
Số nhà 17, ngõ 18 Phố Khương Hạ
Số 6, ngõ 20/2
Phòng 1712, Tòa nhà Prime Centre
Số nhà 24 ngách 10 ngõ 462 đường Bưởi, Phường Vĩnh Phúc
LK 02, 03
Nhà E, Số 98 Tô Ngọc Vân
Số 25A, ngách 6/59 Tổ dân phố số 3 Miêu Nha
So�� nhà 14, hẻm 2/23
Số 2, ngách 142 ngõ Văn Chương
Nhà 3B, ngõ 442/15/28 Vĩnh Hưng
Số 126, Lô C � KĐT mới Đại Kim
Số nhà 5, ngách 39
Số 05, đường Nguyễn Hoàng
Số 34, ngõ 215 Định Công Thượng
Số 125, đường Hồng Hà
Tầng 3, số nhà 10
Số 45, Đường Liên Trung
Số 11, ngách 445/68 đường Nguyễn Khang
Tổ 22, Ngõ 107 đường Lĩnh Nam
Số 6, Ngõ 511
Sàn thương mại tầng 3, tòa CT1
Số nhà 16A, Ngách 95
Số 49, Ngõ Lương Sử C
Tầng 1, Số nhà 10
Số 13, ngõ 18 Yên Hòa
Số 8, Ngõ 23
số 6 ngách 59/39, ngõ 59
Đường Lưu Phái, Thôn Lưu Phái
Số 27, ngõ 612 Đê La Thành
Số 5, ngách 298/33 đường Ngọc Hồi
Số 50, đường Lạc Long Quân
VP26 tầng 26, tòa nhà Sông Đà
Số nhà 19, ngõ 302 đường Láng
Số nhà 8, ngách 54/21 đường Tựu Liệt
Số nhà 69 A, tổ 14 phố Sài Đồng
Tầng 1, nhà dịch vụ số S07 toà Park 09 khu đô thị Vinhomes T
Số nhà 11, Ngõ 219 Trung Kính
ô đất số 4, Dãy A Lô NV
Liền kề 5B, 46 Làng Việt Kiều Châu âu
Tầng 2, số nhà 3
Số nhà 29B hẻm 2/35/8 Phố hoàng Liệt, tổ 19
Số 99 đường Ngũ Hiệp, thôn Tự Khoát
Số 12X5, phố Dương Khuê
Số nhà 66, đường Ngọc Trục
Số nhà G8, TT10 đường Foresa 8D
Số 19, thôn Yên Lũng
P1004VP01, tòa nhà Viet Tower
Biệt thự BT1, D39
Phòng 101 tầng 1 tòa nhà số 2, ngõ 1 Phùng Chí Kiên
Số nhà 24, ngõ 4
C13, khu đấu giá đất Man Bồi
Số 12, ngõ 233 đường Hoàng Mai
Số nhà 90B, Ngách 26
Số nhà 18, Ngách 69
Biệt thự B12A, 11
Tầng 3 số 8, Ngõ 71 Hoàng Văn Thái
Nhà ông Dương Văn Hệ, thôn Nguyên Hạnh
Số 22C, ngách 84/2
P218, 220 Hàng Bông
Số nhà 12A, ngõ 102 Hoàng Như Tiếp
Số nhà 2, tổ 21
Số 52B, ngách 11
Số 3, ngõ 383 Tam Trinh
Số 7 và số 9, đường Nguyễn Văn Linh
Số 262, thôn Bến Trung
Tầng 4 (khu thương mại, dịch vụ
Số 22 Khu 16A3, làng Việt Kiều Châu âu
Số 2 Ngõ 212 Phố Trung Kiên, TDP Trung 6
Số 25D, ngõ 302
Số 7 ngách 342/59, Đường Khương Đình
Tầng 8, TNVP Hapulico Center Building
Số 16, đường Đặng Thùy Trâm
Số nhà 22, Ngõ 214/45 Nguyễn Xiển
Số nhà 31, ngõ Đoàn Kết
Số 99, Lô B3
Số 32, ngách 354/15 Đường Trường Chinh
LK 5, 42 Khu nhà ở cho CBCS cục B42
Số Nhà 9 Ngõ 7, Đường Lê Đức Thọ
Số nhà 275, Tổ 13
Số 36D phố Dịch Vọng Hậu, tổ 27
Số 30 ngõ Kiến Thiết, phố Khâm Thiên
Tầng 18, tòa nhà VCCI
Số nhà 38, ngõ 6a
CH số 02 T33 Tháp G (tòa C2) thuộc nhà CC HH,KĐT Đông Nam
Số nhà 4N1, Ngõ 100 Võ Chí Công
Lô số 23, nhà vườn Khu đô thị Vĩnh Hoàng
Ngõ 252, đường Lĩnh Nam
Số 91, Ngõ 69A
Xóm 1, Thôn Lại Xá
Số nhà 47, ngõ 185 Minh Khai
Số 8, ngách 64
Số nhà 68, ngõ 66B phố Triều Khúc
Số 13, ngõ 117 đường Khương Đình
Số 2A, ngách 48
Xóm Đông, Thôn Cán Khê
Số nhà 9, ngõ 9 đường 21B
Lô G26, Khu đấu giá QSD đất Tân Triều
P1201, 2 tầng 12 Keangnam Hanoi Landmark 72
Số 127, ngõ 78
Số nhà 12 Lô N02, Ngõ 66A
Số 36, Tổ 31 Trại Nhãn
Tầng 1, số 130 Nguyễn Đức Cảnh
Số 11A, ngõ 54 đường âu Cơ
Số nhà 25, ngõ 168/25 Phan Trọng Tuệ
Số 108B, C5
Số 2B, ngõ 9 Lê Đức Thọ
Số nhà 23, ngách 58
Tầng 12, Tòa nhà Hồng Hà Center
Số 6C, nghách 31
Tầng 12, Tòa Licogi 13
Số 28 NV2, Khu nhà ở cán bộ chiến sĩ Tổng cục 5 Bộ Công an
Tầng 2 , Lô 12B
Số nhà DM3, B3
Xóm 5, Thôn Đồng Tâm
Số 12, ngõ Văn Chương
Số nhà 20, ngách 74/17 đường Hữu Hưng
Số 10, Phố Châu Long
Số 18, ngõ 257
Số nhà 66, ngách 58/3
Phòng 3417, Tòa C2
Số 14 ngách 110/15 Đội 12 Xóm Trại, Thôn Vân Côn
TT4, 04
NO03, LK145
TT7, A16(135)
Số 84, Tổ dân phố 4
Lô 8 LK 20 Tổ 10 Khu giãn dân Mậu Lương, Đường Hữu Hoà
Lô 76, khu đất dịch vụ xa la
Số 15, Đường 2
Lô C6, kho Thiết Bị
Số 30 ngõ 12 Phạm Văn Đồng, TDP Tân Xuân 3
Ngõ Chùa Đội 5, Yên Kiện
Số 80, ngõ 806 Kim Giang
Số 11/167, Tây Sơn
Số 9, Khu chợ Đồng Vàng
Số nhà 20, thôn 1
Số 6, ngách 9
Liền kề LK 11, 24
Tầng 7, số 174 đường Thái Hà
Số 106A, ngõ 105 Láng Hạ
Số 78, Hẻm 26/23
Nhà số 1, Ngách 25
Số nhà 32A, Ngõ 191 Phố Khương Thượng
Số nhà 8, ngách 54/134 đường Nguyên Xá
DG10, 36 Khu Đô thị Mậu Lương
Tầng 2, Căn hộ LK2B
Số 86, Ngõ 136
Số nhà 12 ngách 56/2, Phố Lê Văn Hiến
Số 22 ngõ 3, tổ 1 khu Chiến Thắng
Số 35, The Premier lô E2/D21 ĐTM Tôn Thất Thuyết
Tầng 2 tòa nhà VIMECO lô E9, đường Phạm Hùng
Số 73, ngõ 448 đường Hà Huy Tập
Nhà số 1, Ngách 194/6 Phố Thanh Đàm
Số 8, ngõ 286 Giáp Bát
Số nhà 20 Ngõ 372/11, Bờ Tây Sông Nhuệ
Số 34B, ngõ 409 Đường An Dương Vương
Số nhà 5B, ngõ 119
Số 32, ngõ 466
Đội 4, thôn Sơn Đồng
Số 03 Nhà F, TT Công ty Cơ khí xây dựng Đại Mỗ
Số 28, ngõ 66 Nguyễn Hoàng
Số 24, ngõ 462 đường Bưởi
Số 118A, phố Lê Thanh Nghị
Số nhà 74, Đường 16
Xóm Mới, Thôn Tự Khoát
Tầng 2, Toà nhà Vimeco
Số nhà 6A, ngõ 158
Tầng 12 tòa nhà Licogi 13, số 164 Khuất Duy Tiến
Số 68, ngách 521/36
C38 � Thấp tầng A2 Đường 23, khu đô thị thành phố Giao Lưu
B1, 3 tổ dân phố số 4
Tầng 3, Toà B Việt Đức Complex
Số 23, ngõ 89 đường Lạc Long Quân
Khu đất dịch vụ LK29, LK30
Số nhà 34/4, Ngõ 230
Số 2, ngách 32
Tầng 20, Tòa nhà văn phòng Charmvit Tower
Số 21, ngõ 104
Số 54B, ngõ 16 Hoàng Cầu
Căn 01, Tầng 4
Tầng 5, TT04
Tầng 4, Tòa nhà văn phòng Vinaconex 9
Nhà số 6, ngách 32
Số 7B, ngõ 113
Tầng 3, số 71 phố Chùa Láng
Số nhà 8, ngõ 156
Số 2 Ngõ 236/34/14 Phố Đại Từ, Tổ 10
Số 79, Ngõ 123
Số 109 � P2, Phố Tân Mai
Số 120, đường Gamuda Garden 3
Cụm 5, thôn Phượng Nghĩa
Thôn Đoàn Kết, Xã Đại Yên
Khối 4, Khu Tây Đoài
Xóm Bãi Mới, Thôn Xuân Đoài
Tầng 4, số 134 đường Nguyễn Khánh Toàn
Phòng 203, Tầng 2
Số nhà 22B, Ngõ 116
NV1, 1 ô Số 25
BT1, 01 KĐT sinh thái Xuân Phương � Foresa
Tầng 6, Tòa nhà hỗn hợp Sông Đà
Số 2, Lô TT1A
Số 1 hẻm 444/34/5 phố Đội Cấn, Phường Cống Vị
Phòng 146, 07
Tầng 3, số nhà 26
Số 8, ngõ 97
Tầng 2 Tòa nhà Thủy Linh, Số 33 Thái Hà
Tầng 6 Tòa nhà Việt á, Số 9 Duy Tân
Số 26, lô 6
Số 40, ngõ 11 Tô Ngọc Vân
Số 65, Ngách 129/2
Số nhà 20 ngõ 73, đường Nguyễn Trãi
Phòng 1522, Tầng 15
Số 10A, ngách 322/90 Nhân Mỹ
Tầng 2, Số nhà 54 ngõ 47A Khương Trung
Tầng 6, số nhà 24 Trần Kim Xuyến
Căn hộ A04, khu nhà ở thấp tầng Vinaconex 3
Xóm 8, Thôn Tế Xuyên
Số nhà 47, ngõ 61/68
Số 83, ngách 264/21 âu Cơ
P 0308A Tòa G3 Vinhomes Green số 7 Đại lộ Thăng Long, Phường Mễ Trì
L109, 430 Cầu Am
Tầng 2, số nhà 15
Số 16M, ngõ 6
Tầng 3, Tòa nhà B&T Building
Phòng 113, Tầng 10
Bãi Đồn, thôn Hạ
Số 08 Ngõ Đình Thu, đường Thu Quế
Số 20A, Ngõ 236/18 Đường Khương Đình
Số 18, tổ 10
Số nhà 33, ngõ 49 đường Huỳnh Thúc Kháng
Số 9, ngõ 68
Số nhà 300, Tổ 9
Nhà 1B, Nghách 70
Xóm 5, Thôn Yên Kiện
Lô số 8, Nhà số 6 KDT Tây Nam Linh Đàm
TT3, 11 Khu đấu giá quyền sử dụng đất
Số 4 L2, KNO TT Hải Ngân
Tầng 1, Tòa nhà Licogi 13
Phòng 701, số 30D Kim Mã Thượng
Số 4/81/30 ngõ Hòa Bình 7, phường Minh Khai
Số 10 ngõ 89, phố Nguyễn Ngọc Nại
Số 42, Phố Nguyễn Khuyến
Số 13B, Lô 4B
Số nhà 2, xóm Mới
Số 10B, Ngõ 994
Số 20, Ngõ 241/68 Đường Liên Mạc
A19 � NV8 ô số 40, Khu đô thị hai bên đường Lê Trọng Tấn
Số 1, Ngách 96
Căn 01, Tầng 3
Tầng 2, TT04
Tầng 6, TT04
Căn 02, Tầng 3
Số 14C, ngõ 88/38/3 phố Giáp Nhị
LK 4b(8), Tờ bản đồ 00
Số 33, Tổ 18
Số 56 ngõ 109, tổ 15
Số nhà 88, Tổ dân phố Tu Hoàng 1
Tầng 4, Liền kề TT03
K9 Xóm Đạo, Thôn Thường Lệ
Nhà số 324, Block 33
Số 80 Đường An Bài, Thôn An Sơn 2
Số 32, ngách 38
Số 30, Lô 7
Số 12, Lô 7 đền lừ II
Số nhà 6A, Hẻm 48/67/64 Phố Ngô Gia Tự
NQ05, 16
Biệt thự liền kề số BT1, 02
Tầng 4, N013
Số 9, ngõ 11 thôn Thượng Đức
Số nhà 49, đường Nước Phần Lan
Số nhà 20, ngách 63/33/49
Số 34, ngách 15
Số 10, Ngõ 35
Số 32, tổ 2
Lô D10, 12 Cụm làng nghề Tân Triều
Số 19, Phố Hà Trung
Nhà số 1, thôn Yên Xá
Xóm Hạ, thôn Thái Phù
Số 27/12 Ngõ Giếng Mứt, Phố Bạch Mai
Số nhà 5, ngách 7
Số 469, tổ 9
Số 14 ngách 77, ngo 207
Số nhà 6, ngõ 20 phố Nguyễn Công Hoan
LK9, Lô 10
Tầng 2+3, Tòa nhà CT1
Số nhà 15, Xóm 2
Số 3 Ngách 17/2 Ngõ Thịnh Quang, phố Tây Sơn
Số nhà 14C, Tổ 39
Tầng 2, Tòa nhà Star Tower
Số nhà 93, ngõ 75
Số 1, ngách 70
Tầng 2, Khu văn phòng Tòa nhà CT2A
Số 5 dãy C, ngõ 18
Số S3, 6
Số 22, Xóm Đồng A
Tầng 11, Tòa nhà Gold Tower
Số 304 Nguyễn Văn Cừ, tổ 28
Số 2 ngách 192/3, ngõ 192
Spaces Hanoi Belvedre, 28A Trần Hưng Đạo
Tầng 2, tòa nhà trung tâm thương mại Interserco
tầng 15 Tòa nhà Đa năng, số 169 Nguyễn Ngọc Vũ
Số 9, Ngõ 167
Số 68 Đường Đại Tự, Thôn Đại Tự
Biệt Thự DL08, Khu đô thị Embassy Garden Tây Hồ Tây
Số 48, ngõ 197 Phố Định Công
D04 � L07, Khu A
Số 23, ngõ 215 Định Công Thượng
Số 104, Dãy 3
Số nhà 123, Ngõ 2 Đường Đại Từ
số nhà 46,ngõ 134 đường Lê Trọng Tấn
LK319, Khu C
Tầng 3, Tòa nhà Trung tâm Sáng Tạo 3D Việt Nam
NO05, LK126b
Tầng 7 số 174, Đường Thái Hà
Xóm 1, thôn Quỳnh Đô
Số nhà 11, ngõ 183 Đặng Tiến Đông
Số nhà 24, Phố Lò Sũ
Số 35, ngõ 156 đường Tam Trinh
Số 565, đường Phúc Diễn
Tầng 2, nhà số 8
Số 195, đường Lê Duẩn
Số 2a, tổ 11
Lô TH02, khu đô thị Dương Nội
Khu tái định cư LK 19a, LK 19b
Số nhà 19A, ngách 219/18 đường Nguyễn Ngọc Vũ
SN 5B ngõ 179/151, tổ 47
Biệt thự Anh Đào 6, 26
Số 99, Ngách 20
Số 17, Ngách 28
Số 6 Ngõ 59 TDP Hoàng Liên 3, phố Hoàng Liên
Số nhà 10, Hẻm 89/19/37
Số 3 , ngõ 131
Số nhà 19, ngách 81
Số 48, Ngõ 612 Đê La Thành
Số 49D, ngách 63 ngõ 173 đường Hoàng Hoa Thám
Số 20, ngõ 538 đường Láng
Số nhà K28, ngõ 68 Trung Kính
Số 3, Ngách 130/16
Xóm 6, Thôn Đốc Tín
Số 52, 54
Số 165C ngõ 33, tổ 6 Đa Sỹ
D04, L07
Số nhà 3, ngõ 75
Số 9, Ngách Văn Chỉ
ô dịch vụ số 08, Tầng 31
LK37, DV2
Số 08, LK36 Khu Đô Thị Phú Lương
Số nhà 4, ngõ 105
Tầng 1, Số nhà 5A ngách 32/19 Phố Đông Tác
Tầng 6, tòa nhà văn phòng MD Complex Tower
Số 2 ngõ 41 đường Phú Yên, thôn Phú Vinh
L1.2 Khu nhà ở thấp tầng Hải Ngân, Thôn Thượng
Số nhà 79, TT12 Khu đô Thị Văn Phú
Số 8, Phố Pháo Đài Láng
NT2, Khu đô thị Mỹ Đình 2
Tầng 6, Số 1 ngõ 21 Lê Văn Lương
Xóm 1, Thôn Đồng Nhân
Số nhà 09TT1, Khu nhà ở Hà Đô
Số nhà 19, ngõ 124
Phòng 401, tầng 04
Số 9, hẻm 29/70/19 Phố Khương Hạ
Số 5, Ngõ 21 đường Lê Văn Lương
Số nhà 9, Ngõ 35A Xóm Yên Thái
Số nhà 8, thôn Trung Vực
Số nhà 19 ngõ Tập thể quân đội X361, đường Tân Xuân
Số 4, liền kề 10
Số nhà 23, xóm Phúc Sung
Phòng 904 Tòa nhà Gelex Tower, Số 52 Lê Đại Hành
Số 11, ngõ 276/11 phố Đại Từ
Căn L3.01 (TT2), Dự án TTTM nhà ở cao tầng và thấp tầng Hano
Dãy Y01 � L24 An Phú Shop Villa, Nam Cường
LK197, DV04
Tầng 6, Tòa nhà MD Complex (Khu văn phòng)
Tầng 4, Số 66 Lương Khánh Thiện
Số 6D tổ 11, khu Xuân Hà
Số 1, Ngõ 2A
Số nhà 167, ngõ 173 Hoàng Hoa Thám
Lô CUTM 2, 27
Số nhà 195 đường Sông Hòa Bình, xóm Thượng
Số 7, ngách 16/47 Đỗ Xuân Hợp
Số 38, đường Miếu Đầm
Số nhà 23, ngõ 86 phố Đại Từ
Số 90, đường 72
Số nhà 16, Trần Phú 1
Số nhà 49, đường Nguyệt Quế 8
Số nhà 10, ngõ 133 đường Nguyễn Văn Trỗi
Số 99 ngõ 333 Ngô Xuân Quảng, tổ dân phố Thành Trung
Số nhà 20, ngách 32
Số 12, ngõ 333 ngách 48
Tầng 6, số 59 Xã Đàn
Số 6/2/140, Phố Đội Cấn
Số nhà 120/56 khu dân cư số 3, Thôn Triều Khúc
Số 184, đường Nguyễn Tuân
Số 170, đường Trường Chinh
Lô C53, NV 20
Tầng 8 tòa nhà Sannam, Số 78 Phố Duy Tân
Số nhà 04, ngõ 22
Số 10, hẻm 475/20/36 Nguyễn Trãi
Số 6, ngõ 22 đường Trung Kính
Số nhà 10, ngõ 196 đường Hoàng Sâm
Số 22 Ngõ 426, đường Ngọc Hồi
Số 1, ngách 87/73 Thôn Yên Xá
Nhà số 1, ngách 31 ngõ 53 đường Tân Triều
Tầng 3, Toà nhà HPC Landmark 105
Số 11, xóm Viên Mai
Km3, Quốc lộ 23B
Số Nhà 12 Ngách 23 Ngõ 109 phố Bằng Liệt, Tổ 1 Bằng A
Số M22, Tổ 20
Đội 7, thôn Đồng Phú
Số nhà 18, Hẻm 9
Số nhà 12, ngõ 383
Số nhà 3/17/118, ngõ 467 đường Lĩnh Nam
Số 2, ngõ 45 Đường Sơn Đồng � Cát Quế
Số nhà 38, đường Đông La
Tầng 4 Tòa nhà HUD3 Tower, Số 121
Tổ dân phố số 5, Hòe Thị
Số 94, ngõ 61
Số nhà 3B ngách 26/72 Phố Tư Đình, Tổ 5
So�� 2, ngõ 64/33/1
Phòng 0907, Tòa văn phòng C2 DCapital
Số 9B, ngõ 292 Tựu Liệt
Số nhà 218, Phố Nguyễn Lân
Lô 48, LK03 khu đấu giá Mậu Lương
Số 6, Ngách 6
Tầng 1, số 106 đường Quang Trung
LK12, 29 Dọc Bún
Phòng 1501, Tòa nhà Ocean Park
Tầng 4, Tòa nhà Vinaconex 9
Số nhà 58, Tổ 4
Lô A20, cụm Làng nghề sản xuất tập trung
Số nhà 26, ngõ 94
Số 9, ngõ 136 Tiến Thành
số 91 ngõ 293 đường Ngọc Thuỵ, tổ 10
Tầng 3 Hồng Hà Building, số 885 đường Hồng Hà
Số 37, ngõ 14 Phố Ngô Quyền
Số 62, Ngõ 92
Số 23, Ngách 22/16
Số 230, đường Đê La Thành
Số 2, ngách 70/14
Căn hộ 1,Nhà G3
A32 � NV 13 Số 36, Khu đô thị mới hai bên đường Lê Trọng Tấn
Tầng 1, tháp B tòa nhà The Light
Số 344, Phố Lạc Trung
Số 37, LK 3
Số 1C, liên gia 6 ngách 604/33/2 đường Ngọc Thụy
Số 11, ngách 28
Tầng 21, khối A tòa nhà Thai Building
Tầng 2, tòa D�Office
Số 4, Ngõ 63
Khu Công nghiệp Vĩnh Tuy, Đường Lĩnh Nam
Số nhà A3, 2
BT1.11, khu chức năng đô thị Tây Mỗ
Số 22, Ngõ 218
Tầng 12 Khu văn phòng, Tòa nhà Mipec Tower
Số nhà 16, ngõ 6A
Số nhà 28, Ngách 26/1
Tầng 23 & 24 Tòa nhà văn phòng Leadvisors Tower, đường Phạm
Căn số 2.5, Tầng 02 tòa nhà Amber Riverside
Số 03 Đường Anh Đào 3, Khu đô thị Vinhome Riverside
Tầng 2, tòa nhà Dolphin Plaza
Số 60, TT11A Khu đô thị Văn Quán
Số nhà 13 ngách 29, ngõ 97 Đình Thôn
Số nhà 1C, ngách 5/72
BT 26 Khu đô thị C37 Bộ Công an, Số 17 Tố Hữu
Tầng 14, Zen Tower
Số nhà 17, ngách 93
Số 29 BT1, Khu đô thị Mễ Trì Hạ
R0901, tòa nhà C2
Số 79 đường 39 Ecopark, tổ 3
Lô CL35, Tiểu Khu Đô Thị Nam La Khê Bông Đỏ
Số 21, ngõ 17 Khương Hạ
Số 5, ngách 33 đường Nghĩa Lộ
Số 26, ngõ 138
Số 38, ngõ 193 Phú Diễn
Số nhà 24, ngõ 54 phố Ngũ Nhạc
Khu đấu giá DG02, Đường Phủ Quốc
Tầng 16, Tòa nhà Daeha Business Centre
Số 37, Ngõ 109 Đường Bồ Đề
TT 17, 18 Dự án công trình dịch vụ công cộng và nhà ở liền kề
146A3, Ngõ 81
Số 12B, ngõ 242 đường Tây Mỗ
Tầng 6 Tòa nhà MD Complex, Số 68 Nguyễn Cơ Thạch
Số nhà 16, ngách 6/140 Phố Miêu Nha
Số nhà 22, ngách 79/56
Số 2, ngõ 95 Chiến Thắng
Phòng 1705, Tòa nhà 169 Nguyễn Ngọc Vũ
Tầng 12,Tòa Licogi 13
Số 12, ngõ 175 phố Định Công
Số 107, ngõ 164 đường ỷ La
Khu đất dịch vụ, thôn Cựu Quán
Số 11 Lô E, Khu tái định cư 218 Đội Cấn
Số nhà 68, ngõ 85 đường Bát Khối
Số nhà 82, Phố Từ Hoa
B30, BT4
Số 4 tầng 1 CT2A, Chung cư Hà Nội Homeland
Số 52, ngõ 152 Hào Nam
Số 42, đường Lương Thế Vinh
Tầng 4, tháp 2
Tầng 2 số nhà 79, Tổ 10
Số 35 Đường Quang Minh, Tổ dân phố số 3
Số 1 Ngách 296/3 Đường Cầu Diễn, TDP Nguyên Xá 3
Tầng 15 Tòa Nhà Đa Năng, Số 169 Nguyễn Ngọc Vũ
Lô 35, 36
Khu Viện Ba, Thôn Xuân Nê
Số 18 dãy A15 Khu A tập thể Viện nghiên cứu rau quả Trâu Qu, Thị trấn Trâu Quỳ
Tầng 2, Số 137 đường Nguyễn Ngọc Vũ
Số 137 Đặng Tiến Đông, Phường Trung Liệt
Xóm 4, Xã Yên Mỹ
Số 2A ngõ 125 Bùi Xương Trạch, Phường Khương Trung
Số 31 Khuất Duy Tiến, Phường Thanh Xuân Bắc
Số 6 Cụm công nghiệp Trường An, Xã An Khánh
Số 10/117/182 đường Phú Diễn, Phường Phú Diễn
Số 15, Ngõ 189/1 Phố Hoàng Hoa Thám
K02 khu đấu giá Kiến Hưng, Đa Sỹ
Số 82A Trần Phú, Phường Mộ Lao
Số 65 phố Sa Đôi, Phường Phú Đô
Tầng 2, Số 105 phố Hoàng Văn Thái
Thôn Kim Đái 1, Xã Kim Sơn
Đội 1, Thôn Tiên Tảo
Số 99B, ngõ 275 đường âu Cơ
VP Belink,P R17 tầng 9
Số 10A1, ngõ 195B
Số 31 ngõ 357 đường Tam Trinh, Phường Hoàng Văn Thụ
Số 20, ngách 79
Số 46, ngõ 226/29 đường 422B
No, 06 B42 Tái Định Cư
Số 80 , ngõ 108
TT23, 14
Số 14, Liền kề 10
Lô CL1B, 5
Tầng 14, số 1 đường Tôn Thất Thuyết
Số 17A, ngõ 106 đường Trần Duy Hưng
Tầng 3, lô B9/D6
Số 1, LK 11A
Số nhà 02, Ngõ 795/1
Số 19 phố Châu Đài, TDP Thượng Cát 2
Số 60, ngõ 76
Tầng 6, tòa Việt á
LK1, N11
Số nhà 16, ngõ 67 Phùng Khoang
Phòng 301, số 31 ngõ 145 phố Quan Nhân
Số nhà 26, ngách 84
Số nhà 36/8, phố Trưng Vương
Số nhà 36/8, Phố Trưng Vương
Tầng 14, tòa nhà Ladeco building
Số 9A, ngõ 37/6
Số nhà 28, Ngõ 102 Đường Trường Chinh
Số 17, ngõ 437
Số nhà 28, ngõ 102 phố Hoàng Đạo Thành
Tầng 2, Khu A
Sô 25, ngõ 145 Định Công Thượng
Phòng 502, số 6 đường Vũ Ngọc Phan
Số nhà 125 Ngõ 622 Minh Khai, Phường Minh Khai
Số 28, ngõ 1295 Giải Phóng
Số 80B phố Nguyễn Văn Cừ, Phường Bồ Đề
Tầng 10, Tháp A3
60/215 Định Công Thượng, Phường Định Công
Số 16, ngõ 164 đường Lê Trọng Tấn
Số 11B, Ngõ 168 đường Nguyễn Xiển
Lô 3, H2
Số nhà 10, Hẻm 305/21
Số nhà 34, Ngõ 34
Số 30, ngõ 165/2
ô 39, Lô A
Số 8, ngách 2
Tầng 7, Tòa nhà Kim Khí Thăng Long
Tầng 3, Số 3
Số nhà 36, ngách 299/76 đường Hoàng Mai
Số 8D, đường Điện Biên Phủ
Lô C24, ngõ 89 Đường Lê Đức Thọ
Biệt thự FB, 38
Số 16a, ngõ 99/110/65
Số 4A, ngách 181/6 Tôn Đức Thắng
Số 28A, Dãy 3
LK4, 08
Số B5, 22 Vinhome Gardenia
Phòng 202, tầng 2
Số 14, Tổ 18
Số 5, Đội 13 thôn Nguyên Khê
BT 2, ô 2 Khu đô thị mới Tân Tây Đô
Số 5, ngõ 64
Xóm Lẻ, Thôn Triều Khúc
Số nhà 17, xóm Thượng
Số 4, ngõ 340 đường Đức Thượng
Nhà số 7, ngõ 193/101 phố Nam Dư
